"","professionals.professionals_location","lon","lat"
"1","New York, New York",-77.8856212,42.8710697
"2","Boston, Massachusetts",-71.0588801,42.3600825
"3","Milwaukee, Wisconsin",-87.9064736,43.0389025
"4","New York, New York",-74.0059728,40.7127753
"5","Wilmington, Vermont",-72.8714468,42.8683889
"6","New York, New York",-77.8856212,42.8710697
"7","Washington, Washington",-80.2461714,40.17396
"8","Boston, Massachusetts",-71.0588801,42.3600825
"9","San Francisco, California",-122.4194155,37.7749295
"10","New York, New York",-74.0059728,40.7127753
"11","Trenton, Michigan",-83.1782587,42.1394858
"12","Nashville, Tennessee",-86.7816016,36.1626638
"13","New York, New York",-74.0059728,40.7127753
"14","Cambridge, Massachusetts",-71.1097335,42.3736158
"15","Haslet, Texas",-97.3477957,32.9748469
"16","Boston, Massachusetts",-71.0588801,42.3600825
"17","Ghaziabad, Uttar Pradesh, India",77.4537578,28.6691565
"18","New York, New York",-74.0059728,40.7127753
"19","Tamworth, England, United Kingdom",-1.691032,52.633584
"20","Boston, Massachusetts",-71.0588801,42.3600825
"21","Pittsburgh, Pennsylvania",-79.9958864,40.4406248
"22","Oakland, California",-122.2711639,37.8043514
"23","New York, New York",-77.8856212,42.8710697
"24","Plattsburgh, New York",-73.4529124,44.6994873
"25","Carmel, Indiana",-86.1180435,39.978371
"26","Peabody, Massachusetts",-70.9286609,42.5278731
"27","Boston, Massachusetts",-71.0588801,42.3600825
"28","Redwood City, California",-122.228141,37.4847955
"29","Denton, Texas",-97.1330683,33.2148412
"30","Surprise, Arizona",-112.3679279,33.6292337
"31","New York, New York",-74.0059728,40.7127753
"32","Redwood City, California",-122.228141,37.4847955
"33","Cambridge, Massachusetts",-71.1097335,42.3736158
"34","Ashburn, Virginia",-77.4874416,39.0437567
"35","Montreal, Quebec, Canada",-73.567256,45.5016889
"36","San Francisco, California",-122.4194155,37.7749295
"37","Los Angeles, California",-118.2436849,34.0522342
"38","Denton, Texas",-97.1330683,33.2148412
"39","Indianapolis, Indiana",-86.158068,39.768403
"40","Boston, Massachusetts",-71.0588801,42.3600825
"41","Boston, Massachusetts",-71.0588801,42.3600825
"42","Foxborough, Massachusetts",-71.2478251,42.0653812
"43","New York, New York",-77.8856212,42.8710697
"44","Oakland, California",-122.2711639,37.8043514
"45","New York, New York",-77.8856212,42.8710697
"46","Berlin, Massachusetts",-71.6370121,42.3812039
"47","New York, New York",-74.0059728,40.7127753
"48","Oakland, California",-122.2711639,37.8043514
"49","Oakland, California",-122.2711639,37.8043514
"50","Houston, Texas",-95.3698028,29.7604267
"51","Beverly Hills, California",-118.4003563,34.0736204
"52","Redwood City, California",-122.228141,37.4847955
"53","Los Angeles, California",-118.2436849,34.0522342
"54","United States",-95.712891,37.09024
"55","Berkeley, California",-122.273042,37.8715226
"56","New York, New York",-77.8856212,42.8710697
"57","New York, New York",-77.8856212,42.8710697
"58","Lake Worth, Florida",-80.0684479,26.6167555
"59","Boston, Massachusetts",-71.0588801,42.3600825
"60","Lake Worth, Florida",-80.0684479,26.6167555
"61","Boston, Massachusetts",-71.0588801,42.3600825
